ramp,lane,time_30,queue_count_max,queue_len_max
S26_O,0,0 days 13:00:00,1,19.68503799
S26_O,1,0 days 13:00:00,0,0.0
S30_O,0,0 days 13:00:00,0,0.0
S30_O,1,0 days 13:00:00,1,18.04461686
S33_O,0,0 days 13:00:00,0,0.0
S33_O,1,0 days 13:00:00,1,26.24671767
S35_O,0,0 days 13:00:00,0,0.0
S35_O,1,0 days 13:00:00,0,0.0
S40_O,0,0 days 13:00:00,2,47.80183728
S40_O,1,0 days 13:00:00,2,49.67190902
S45_O,0,0 days 13:00:00,0,0.0
S45_O,1,0 days 13:00:00,1,26.50918496
S48_O,0,0 days 13:00:00,0,0.0
S50_O,0,0 days 13:00:00,0,0.0
S50_O,1,0 days 13:00:00,0,0.0
S53_O,0,0 days 13:00:00,0,0.0
S58_O,0,0 days 13:00:00,0,0.0
S58_O,1,0 days 13:00:00,0,0.0
S59_O,0,0 days 13:00:00,1,20.40682294
S59_O,1,0 days 13:00:00,0,0.0
S64_O,0,0 days 13:00:00,0,0.0
S66_O,0,0 days 13:00:00,0,0.0
S66_O,1,0 days 13:00:00,0,0.0
S26_O,0,0 days 13:00:30,9,293.4055067
S26_O,1,0 days 13:00:30,8,254.0682353
S30_O,0,0 days 13:00:30,0,0.0
S30_O,1,0 days 13:00:30,1,18.04461686
S33_O,0,0 days 13:00:30,1,21.06299067
S33_O,1,0 days 13:00:30,1,26.24671767
S35_O,0,0 days 13:00:30,3,90.35429648
S35_O,1,0 days 13:00:30,3,90.55114688
S40_O,0,0 days 13:00:30,7,221.095799
S40_O,1,0 days 13:00:30,6,189.370076
S45_O,0,0 days 13:00:30,6,194.0288656
S45_O,1,0 days 13:00:30,7,209.416005
S48_O,0,0 days 13:00:30,8,245.6692801
S50_O,0,0 days 13:00:30,5,169.3241399
S50_O,1,0 days 13:00:30,6,171.0301767
S53_O,0,0 days 13:00:30,2,70.73490804
S53_O,1,0 days 13:00:30,2,48.55642964
S58_O,0,0 days 13:00:30,1,23.91732136
S58_O,1,0 days 13:00:30,0,0.0
S59_O,0,0 days 13:00:30,1,19.91469694
S59_O,1,0 days 13:00:30,0,0.0
S64_O,0,0 days 13:00:30,2,50.06561664
S64_O,1,0 days 13:00:30,2,60.00656164
S66_O,0,0 days 13:00:30,0,0.0
S66_O,1,0 days 13:00:30,1,22.96582343
S26_O,0,0 days 13:01:00,7,211.2204647
S26_O,1,0 days 13:01:00,9,293.2742733
S30_O,0,0 days 13:01:00,1,20.93175606
S30_O,1,0 days 13:01:00,0,0.0
S33_O,0,0 days 13:01:00,1,22.80183587
S33_O,1,0 days 13:01:00,0,0.0
S35_O,0,0 days 13:01:00,6,177.2309395
S35_O,1,0 days 13:01:00,6,194.0288405
S40_O,0,0 days 13:01:00,7,228.7729646
S40_O,1,0 days 13:01:00,7,222.736219
S45_O,0,0 days 13:01:00,6,188.6154796
S45_O,1,0 days 13:01:00,5,171.850387
S48_O,0,0 days 13:01:00,8,245.7020883
S50_O,0,0 days 13:01:00,5,159.5800451
S50_O,1,0 days 13:01:00,5,144.6850315
S53_O,0,0 days 13:01:00,3,88.61547991
S53_O,1,0 days 13:01:00,3,85.20340651
S58_O,0,0 days 13:01:00,2,45.01312256
S58_O,1,0 days 13:01:00,1,22.14566776
S59_O,0,0 days 13:01:00,1,21.09579934
S59_O,1,0 days 13:01:00,0,0.0
S64_O,0,0 days 13:01:00,2,46.12860864
S64_O,1,0 days 13:01:00,2,56.88976364
S66_O,0,0 days 13:01:00,1,27.42776583
S66_O,1,0 days 13:01:00,2,51.37789803
S26_O,0,0 days 13:01:30,7,218.6023549
S26_O,1,0 days 13:01:30,8,261.8438261
S30_O,0,0 days 13:01:30,1,20.37401326
S30_O,1,0 days 13:01:30,0,0.0
S33_O,0,0 days 13:01:30,1,20.63648147
S33_O,1,0 days 13:01:30,0,0.0
S35_O,0,0 days 13:01:30,5,149.5078417
S35_O,1,0 days 13:01:30,5,138.1889437
S40_O,0,0 days 13:01:30,6,172.8018342
S40_O,1,0 days 13:01:30,6,199.0157458
S45_O,0,0 days 13:01:30,4,113.5826688
S45_O,1,0 days 13:01:30,4,126.7716456
S48_O,0,0 days 13:01:30,6,191.5354201
S50_O,0,0 days 13:01:30,3,84.87531825
S50_O,1,0 days 13:01:30,4,107.7427731
S53_O,0,0 days 13:01:30,2,51.47637724
S53_O,1,0 days 13:01:30,2,48.26115404
S58_O,0,0 days 13:01:30,1,20.57086456
S58_O,1,0 days 13:01:30,1,21.29264936
S59_O,0,0 days 13:01:30,1,21.65354214
S59_O,1,0 days 13:01:30,0,0.0
S64_O,0,0 days 13:01:30,1,19.88188864
S66_O,0,0 days 13:01:30,1,21.52225403
S66_O,1,0 days 13:01:30,2,52.39495843
S26_O,0,0 days 13:02:00,7,224.5406753
S26_O,1,0 days 13:02:00,8,246.7519621
S30_O,0,0 days 13:02:00,1,20.40682166
S30_O,1,0 days 13:02:00,0,0.0
S33_O,0,0 days 13:02:00,1,21.78477547
S33_O,1,0 days 13:02:00,0,0.0
S35_O,0,0 days 13:02:00,2,54.98687612
S35_O,1,0 days 13:02:00,3,73.42516208
S40_O,0,0 days 13:02:00,6,168.3070834
S40_O,1,0 days 13:02:00,5,143.3726994
S45_O,0,0 days 13:02:00,3,73.58922921
S45_O,1,0 days 13:02:00,3,80.47899321
S48_O,0,0 days 13:02:00,4,112.9921105
S50_O,0,0 days 13:02:00,2,47.93307037
S50_O,1,0 days 13:02:00,3,72.53935985
S53_O,0,0 days 13:02:00,1,20.11154684
S53_O,1,0 days 13:02:00,0,0.0
S58_O,0,0 days 13:02:00,1,20.27558896
S58_O,1,0 days 13:02:00,0,0.0
S59_O,0,0 days 13:02:00,1,21.48950014
S59_O,1,0 days 13:02:00,0,0.0
S64_O,0,0 days 13:02:00,0,0.0
S66_O,0,0 days 13:02:00,1,20.89889443
S66_O,1,0 days 13:02:00,2,55.70860683
S26_O,0,0 days 13:02:30,6,182.2506477
S26_O,1,0 days 13:02:30,6,177.8215137
S30_O,0,0 days 13:02:30,1,21.58792406
S33_O,0,0 days 13:02:30,1,20.17716387
S35_O,0,0 days 13:02:30,1,16.73228192
S35_O,1,0 days 13:02:30,0,0.0
S40_O,0,0 days 13:02:30,4,110.6299162
S40_O,1,0 days 13:02:30,5,146.0957966
S45_O,0,0 days 13:02:30,1,21.55511676
S45_O,1,0 days 13:02:30,1,20.43963116
S48_O,0,0 days 13:02:30,2,48.09709531
S50_O,0,0 days 13:02:30,1,20.70209837
S50_O,1,0 days 13:02:30,1,23.12991997
S53_O,0,0 days 13:02:30,1,19.78346284
S53_O,1,0 days 13:02:30,1,23.42519524
S58_O,0,0 days 13:02:30,1,20.80052336
S58_O,1,0 days 13:02:30,1,16.40419776
S59_O,0,0 days 13:02:30,1,20.53805654
S59_O,1,0 days 13:02:30,0,0.0
S64_O,0,0 days 13:02:30,0,0.0
S66_O,0,0 days 13:02:30,1,19.78340883
S66_O,1,0 days 13:02:30,2,54.92120523
S26_O,0,0 days 13:03:00,5,133.0708561
S26_O,1,0 days 13:03:00,6,178.7073405
S30_O,0,0 days 13:03:00,1,22.67060126
S30_O,1,0 days 13:03:00,0,0.0
S33_O,0,0 days 13:03:00,1,19.75065467
S33_O,1,0 days 13:03:00,0,0.0
S35_O,0,0 days 13:03:00,1,19.98031352
S35_O,1,0 days 13:03:00,1,21.81758392
S40_O,0,0 days 13:03:00,5,128.7729614
S40_O,1,0 days 13:03:00,5,136.5813606
S45_O,0,0 days 13:03:00,1,20.34120596
S45_O,1,0 days 13:03:00,1,19.91469676
S48_O,0,0 days 13:03:00,0,0.0
S50_O,0,0 days 13:03:00,1,19.68503797
S50_O,1,0 days 13:03:00,1,21.09579917
S53_O,0,0 days 13:03:00,1,20.70209804
S53_O,1,0 days 13:03:00,1,20.40682244
S58_O,0,0 days 13:03:00,2,50.59055056
S58_O,1,0 days 13:03:00,1,20.34120576
S59_O,0,0 days 13:03:00,1,23.49081254
S64_O,0,0 days 13:03:00,1,21.55511704
S66_O,0,0 days 13:03:00,0,0.0
S66_O,1,0 days 13:03:00,2,49.21254363
S26_O,0,0 days 13:03:30,5,148.8188881
S26_O,1,0 days 13:03:30,4,109.8425089
S30_O,0,0 days 13:03:30,2,49.93438166
S30_O,1,0 days 13:03:30,1,19.75065366
S33_O,0,0 days 13:03:30,1,20.34120587
S33_O,1,0 days 13:03:30,0,0.0
S35_O,0,0 days 13:03:30,1,20.50524792
S40_O,0,0 days 13:03:30,4,102.165349
S40_O,1,0 days 13:03:30,4,106.922567
S45_O,0,0 days 13:03:30,2,46.94881836
S45_O,1,0 days 13:03:30,1,21.25984116
S48_O,0,0 days 13:03:30,1,19.68502091
S50_O,0,0 days 13:03:30,1,20.96456557
S50_O,1,0 days 13:03:30,1,22.57217717
S53_O,0,0 days 13:03:30,1,21.03018204
S58_O,0,0 days 13:03:30,2,55.21653496
S58_O,1,0 days 13:03:30,1,22.47375176
S59_O,0,0 days 13:03:30,1,20.76771534
S59_O,1,0 days 13:03:30,0,0.0
S64_O,0,0 days 13:03:30,0,0.0
S66_O,0,0 days 13:03:30,1,22.11280523
S66_O,1,0 days 13:03:30,1,34.44876363
S26_O,0,0 days 13:04:00,4,116.3385721
S26_O,1,0 days 13:04:00,4,109.2191493
S30_O,0,0 days 13:04:00,1,21.06298966
