Sensor_ID,Link_Edge_ID,Ramp
D5_M,S25_M,No
D6_M,S29_M,No
D7_M,S32_M,No
D8_M,S34_M,No
D9_M,S35_M,No
D10_M,S38_M,No
D11_M,S43_M,No
D12_M,S46_M,No
D13_M,S47_M,No
D14_M,S49_M,No
D15_M,S52_M,No
D16_M,S57_M,No
D17_M,S58_M,No
D18_M,S62_M,No
D19_M,S63_M,No
D20_M,S65_M,No
D21_M,S69_M,No
D5_O,S26_O_4,S26_O
D6_O,S30_O_4,S30_O
D7_O,S33_O_4,S33_O
D8_O,S35_O_4,S35_O
D9_O,S40_O_4,S40_O
D10_O,S45_O_4,S45_O
D11_O,S48_O_2,S48_O
D12_O,S50_O_4,S50_O
D13_O,S53_O_5,S53_O
D14_O,S58_O_5,S58_O
D15_O,S59_O_4,S59_O
D16_O,S64_O_7,S64_O
D17_O,S66_O_2,S66_O
