,13:00-13:15,13:15-13:30,13:30-13:45,13:45-14:00,14:00-14:15,14:15-14:30,14:30-14:45,14:45-15:00,15:00-15:15,15:15-15:30,15:30-15:45,15:45-16:00,16:00-16:15,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15,17:15-17:30,17:30-17:45,17:45-18:00,18:00-18:15,18:15-18:30,18:30-18:45,18:45-19:00,19:00-19:15,19:15-19:30,19:30-19:45,19:45-20:00
Mainline 1,98.53357534246577,102.87248298068077,96.35816781292986,97.21587434325744,101.491276119403,100.61647202050406,96.18862462462462,88.99725919801573,52.67887427745664,38.663924007744434,38.80723618327823,40.29651277287506,39.37531890660592,39.7355032527881,49.76581462140992,49.90781479859895,48.617327176781004,48.78729427197202,52.532279079497904,47.36156946902655,59.72457640067911,57.61678716216216,74.38449226006193,74.001204778157,93.80390690423162,106.73662294238683,109.3437071213641,106.20195817893065
Mainline 2,91.8920879501385,94.56794131777625,85.4951169451074,88.60304384268214,90.61739113428942,89.26073289800995,89.4351029593095,85.7640596590909,55.59771627731726,43.82175204678362,58.1661009771987,46.073357421875,47.54581762369087,54.74074389438944,56.017101538461546,57.26258793629278,57.79679979501196,54.7253024390244,63.477938247011956,67.48850556792874,70.14137131882202,68.4450124300808,69.98258018715715,75.48937844772291,85.05007524353377,99.01469379992395,100.84692666429335,95.51689750692522
Mainline 3,95.33082381465518,94.91200583657589,92.24579571984437,82.27590433127082,88.06922287968442,92.00179048534359,88.86286472991375,66.06838178913739,42.268692307692305,43.57695682676741,57.91990692007798,52.03919633774161,56.85040325765055,55.01005681818183,55.86156081081082,58.614253802281375,59.691808179162614,64.2769593495935,59.693989397590364,80.92687914139057,75.5346796116505,60.44531742243437,62.78090134099617,75.66688588007737,86.22908293612964,99.58098615548457,103.50311630695444,98.28269101796408
Mainline 4,102.48632586786115,100.53925000000001,93.15780811808119,91.01524010791367,96.23740063956144,96.83636012861737,91.24348453608249,81.22234588701686,72.82455925925926,77.16570229007634,76.98289219858157,75.96408313539193,78.41170627062706,78.1282007666507,79.97079740380158,81.14584633027525,81.1259995545657,84.09276385224275,81.82045454545455,85.37152805567638,87.29212949002218,81.27670651204282,81.24803524627202,83.16217812500001,89.13698825654924,100.68428294573644,105.7593861620343,101.80793514765489
Mainline 5,107.1758193231441,109.03802956167175,108.05962222222223,96.26275409023303,94.6944115913556,88.78029721669981,66.08446051332676,54.77417248790973,73.3723,98.59865281430828,89.73930325581397,97.0739975037444,86.91312655705033,81.82883981808995,88.65204898565067,101.03249319213313,100.08990483162519,103.77518447532344,106.61045258620689,112.80333741753064,115.81006779661017,110.39736623889438,109.10379960218796,111.44569030034467,104.71109155645982,117.78808208569954,114.06495984703632,112.84143729694607
Mainline 6,103.64145454545454,104.55139967014844,100.07343045017704,99.08916376122558,97.16516776149571,62.450650416933925,43.670957518166574,28.631342815463167,37.649129366812225,57.491898785425114,46.025895768833855,45.00632203389831,41.26936618141098,37.0713785046729,38.74682928176796,60.84690272373542,77.89129546726357,102.5738868753432,100.58265386638611,104.35509900990098,109.19510075026797,107.14374348057477,107.28452180936995,107.38420705092335,104.70317110266161,112.53068369123622,115.41927237604637,110.12646866666668
Mainline 7,96.32198245614035,91.80844628606508,87.1821684460261,89.55865034526052,84.87552807017545,65.34472539573298,62.790000000000006,55.8885114822547,66.19712719298245,61.032425913163344,65.9019798903108,66.81069361702129,60.98742294863242,54.206667116812966,49.651211409395984,50.75329129540782,62.14579975124378,76.9711,71.83211622125543,91.83851063829788,99.09044769874478,94.30338510762073,88.62799040767386,99.8630737217598,99.59527868852462,106.76198636673483,110.24346996466431,105.45085930408472
Mainline 8,96.4673076923077,91.65378882978725,88.65282352941176,91.4114461971831,79.68903062869425,63.904083385976,69.42526410256411,50.09672960215779,72.97733064516129,63.49789556135771,73.19583845278726,72.41424270177447,59.04248823529412,58.6428761061947,52.417029812054444,51.27934736842106,65.84806504065041,74.21454481132076,67.68637142857143,89.13396138328531,95.40331890660592,92.8197269772481,89.80883333333334,97.53810529247912,99.92249359658486,104.77062286797221,110.8234776119403,105.98803616878769
Mainline 9,101.04210398230089,96.15762695109261,95.68866398794576,96.85088662009672,91.61666666666669,74.74836313868613,81.02166727162736,62.23874334600761,82.92417430167598,72.36170000000001,85.4017996724891,87.86353747917823,65.549411360799,58.8817146529563,61.549083023544,50.08515145368493,70.3655542505593,70.4834867816092,68.68535382895472,96.88034825870649,95.22321518987343,100.48254760652289,101.46111322808929,105.44064495461826,106.33871111111111,112.48646827794563,116.12347361887029,109.95697043363995
Mainline 10,99.97925335035099,94.87803140773978,91.8683741046832,91.48462070971496,82.57314808259589,74.11046114322416,63.49907738542449,59.40263636363637,76.90222812311407,55.58366918429004,80.16352369380317,72.10442875816995,56.54251851851852,49.91485305199699,51.43364970930234,39.682562829194886,51.39133472803348,41.87579157088123,55.13229423728814,83.56302228224172,68.0025785569791,96.32232349397592,101.80722787878787,103.33877791188894,105.23114129181084,107.85442614379085,108.03991530944627,103.64420480225989
Mainline 11,103.35643852459017,97.99385130111526,97.32026315789473,98.47979748163695,90.82859470124012,94.39976250000001,54.42355172413793,68.78956735606484,63.16654700315457,78.32559976456739,89.87046759002772,72.9727731042654,56.87869353764157,46.02240517241379,37.95790779127948,42.8046564690886,50.379476000000004,37.542880886426595,49.33151676300578,37.6485664952241,71.99211447212336,105.18327084565347,108.53881396748947,106.73110344827586,107.45514107883818,109.92086290801188,109.44515151515154,105.80082081784387
Mainline 12,102.27388479532165,96.63704949973672,96.69461611374408,95.42080631796996,82.24841794434981,92.36252575488456,50.09174017467249,66.3750451388889,64.66903551401869,76.20762665897288,76.38572332942556,55.824870121561105,54.08775471698114,45.21269110658521,39.212631536604995,47.987795469255666,47.28791708723865,41.39456363636364,53.59400386847196,42.48493103448276,74.89359680284191,103.24497018485391,108.57909747292422,105.80912019826518,106.30139443436177,110.74500000000002,109.54181561822126,103.89779468242247
