,13:00-13:30,13:30-14:00,14:00-14:30,14:30-15:00,15:00-15:30,15:30-16:00,16:00-16:30,16:30-17:00,17:00-17:30,17:30-18:00,18:00-18:30,18:30-19:00,19:00-19:30,19:30-20:00
HOV 1,572.0,760.0,724.0,932.0,1202.0,1366.0,1278.0,1374.0,1190.0,1146.0,1056.0,908.0,634.0,548.0
HOV 2,1882.0,1804.0,1772.0,1806.0,1746.0,1922.0,1840.0,2018.0,1986.0,2090.0,2070.0,1896.0,1874.0,1422.0
HOV 3,860.0,1194.0,1210.0,1484.0,1442.0,1574.0,1474.0,1550.0,1476.0,1406.0,1474.0,1262.0,1054.0,788.0
HOV 4,1594.0,1098.0,1226.0,1422.0,1444.0,1512.0,1438.0,1520.0,1476.0,1320.0,1388.0,1300.0,1092.0,744.0
HOV 5,792.0,1102.0,1216.0,1512.0,1380.0,1472.0,1292.0,1342.0,1320.0,1212.0,1208.0,1214.0,1090.0,732.0
HOV 6,826.0,1094.0,1216.0,1436.0,1452.0,1462.0,1462.0,1382.0,1290.0,1286.0,1314.0,1274.0,1068.0,872.0
HOV 7,796.0,1148.0,1232.0,1466.0,1444.0,1518.0,1422.0,1376.0,1318.0,1284.0,1296.0,1312.0,1152.0,956.0
HOV 8,788.0,1176.0,1246.0,1440.0,1448.0,1512.0,1422.0,1382.0,1302.0,1266.0,1328.0,1284.0,1134.0,956.0
HOV 9,796.0,1180.0,1284.0,1492.0,1484.0,1538.0,1420.0,1318.0,1314.0,1284.0,1372.0,1286.0,1102.0,962.0
HOV 10,960.0,1282.0,1390.0,1462.0,1548.0,1532.0,1386.0,1350.0,1338.0,1328.0,1434.0,1276.0,1040.0,910.0
HOV 11,988.0,1282.0,1486.0,1466.0,1478.0,1510.0,1364.0,1214.0,1208.0,1302.0,1408.0,1230.0,1020.0,770.0
HOV 12,970.0,1296.0,1506.0,1486.0,1492.0,1422.0,1252.0,1284.0,1234.0,1268.0,1424.0,1208.0,1010.0,748.0
HOV 13,928.0,1252.0,1436.0,1514.0,1430.0,1436.0,1262.0,1244.0,1124.0,1330.0,1440.0,1110.0,1088.0,778.0
HOV 14,912.0,1218.0,1420.0,1506.0,1464.0,1470.0,1272.0,1184.0,1204.0,1324.0,1372.0,1124.0,1106.0,746.0
HOV 15,822.0,1196.0,1434.0,1534.0,1474.0,1412.0,1260.0,1294.0,1290.0,1336.0,1502.0,1180.0,1154.0,820.0
HOV 16,892.0,1148.0,1302.0,1422.0,1398.0,1232.0,1204.0,1302.0,1364.0,1292.0,1312.0,1020.0,988.0,816.0
HOV 17,862.0,1152.0,1292.0,1412.0,1394.0,1180.0,1234.0,1272.0,1348.0,1324.0,1326.0,1072.0,956.0,850.0
HOV 18,894.0,1190.0,1250.0,1368.0,1418.0,1220.0,1208.0,1274.0,1372.0,1304.0,1296.0,1102.0,870.0,826.0
HOV 19,974.0,1266.0,1304.0,1376.0,1392.0,1218.0,1194.0,1284.0,1376.0,1292.0,1278.0,1108.0,874.0,860.0
HOV 20,912.0,1270.0,1314.0,1380.0,1374.0,1224.0,1190.0,1334.0,1370.0,1364.0,1344.0,1156.0,894.0,858.0
HOV 21,888.0,1434.0,1440.0,1458.0,1476.0,1348.0,1400.0,1396.0,1462.0,1540.0,1542.0,1340.0,942.0,936.0
HOV 22,896.0,1388.0,1468.0,1510.0,1504.0,1420.0,1382.0,1448.0,1430.0,1546.0,1500.0,1364.0,952.0,936.0
HOV 23,956.0,1358.0,1446.0,1570.0,1512.0,1396.0,1444.0,1492.0,1488.0,1566.0,1558.0,1400.0,1028.0,896.0
HOV 24,966.0,1362.0,1446.0,1654.0,1552.0,1444.0,1512.0,1550.0,1558.0,1536.0,1616.0,1432.0,1024.0,896.0
HOV 25,906.0,1368.0,1362.0,1714.0,1652.0,1540.0,1598.0,1556.0,1586.0,1578.0,1624.0,1548.0,1120.0,900.0
HOV 26,850.0,1318.0,1438.0,1668.0,1628.0,1572.0,1536.0,1628.0,1554.0,1618.0,1586.0,1550.0,1192.0,928.0
HOV 27,866.0,1340.0,1430.0,1684.0,1604.0,1574.0,1576.0,1630.0,1554.0,1594.0,1596.0,1526.0,1148.0,912.0
HOV 28,1362.0,1422.0,1466.0,1488.0,1492.0,1486.0,1482.0,1488.0,1492.0,1490.0,1480.0,1446.0,1382.0,1250.0
HOV 29,974.0,1332.0,1296.0,1512.0,1490.0,1494.0,1596.0,1558.0,1484.0,1518.0,1446.0,1466.0,1144.0,904.0
HOV 30,1362.0,1422.0,1466.0,1488.0,1492.0,1486.0,1482.0,1488.0,1492.0,1490.0,1480.0,1446.0,1382.0,1250.0
HOV 31,1068.0,1392.0,1358.0,1534.0,1460.0,1532.0,1636.0,1536.0,1528.0,1560.0,1494.0,1502.0,1232.0,918.0
HOV 32,1074.0,1320.0,1440.0,1526.0,1430.0,1560.0,1578.0,1476.0,1530.0,1484.0,1508.0,1486.0,1150.0,976.0
HOV 33,1098.0,1244.0,1378.0,1438.0,1432.0,1464.0,1550.0,1472.0,1494.0,1450.0,1438.0,1448.0,1060.0,944.0
