,13:00-13:30,13:30-14:00,14:00-14:30,14:30-15:00,15:00-15:30,15:30-16:00,16:00-16:30,16:30-17:00,17:00-17:30,17:30-18:00,18:00-18:30,18:30-19:00,19:00-19:30,19:30-20:00
Mainline 1,100.76989236605026,96.79691399776037,101.03466153846156,92.52632715789474,45.68831723804925,39.5581524590164,39.55362962962963,49.836597773897864,48.702552948914715,50.01920301075269,58.66800465707028,74.18939435396308,99.80562568632132,107.81531058459952
Mainline 2,93.23601016890728,87.09259652029826,89.92308609166136,87.62133733624454,49.81014236443764,52.667446714031975,51.30519451629591,56.64260023825732,56.27615163015353,65.52590138099107,69.28062030905078,72.74439408074636,91.59894826971103,98.32275431034483
Mainline 3,95.11070884458078,87.20688741881165,90.06086882453152,78.373269296741,42.9381797845899,55.04248606271778,55.93068444444445,57.24845402298851,62.00484825090472,70.48158605974395,68.11048661343354,69.19288787295476,92.53564084507043,100.89133972438587
Mainline 4,101.47455863367404,92.07286475409838,96.53605726065048,86.48409225700166,75.0373597924773,76.47469478672986,78.27109885931559,80.56143762969796,82.61890108431069,83.60452753496504,84.2931127418279,82.21090972378173,94.7081935483871,103.76285137507315
Mainline 5,108.13882841328412,102.30108325266215,91.75488636363634,60.669372781065086,85.79273426573425,93.2768405971587,84.38884069242349,94.78352272727273,101.94947412959381,109.73190190023756,113.12951698851136,110.28053884215736,111.20100461183705,113.45910360360361
Mainline 6,104.1025103064067,99.59197906976745,81.86840898812888,37.1458588607595,47.28354338668913,45.52277104025092,39.21477644368211,49.763186201163755,90.34888941241685,102.4267800484001,108.165861682243,107.33340697036225,108.48734736251404,112.81881198820831
Mainline 7,94.04212186046513,88.33670814272645,75.9035848877648,59.42016004077472,63.737664916311125,66.35688983566648,57.617523825503355,50.196458799593096,69.56305686761965,81.94598186846959,96.66445695754719,94.26900835820895,102.90663622047246,107.92858823529413
Mainline 8,93.95984981989473,89.98377086164719,72.43363821138212,60.0055412421952,68.5334828641371,72.80626704707561,58.83934350899743,51.852460006529554,69.99948390871856,78.47233333333335,94.07924597445864,93.67454611312343,102.14250766560603,108.44400692155571
Mainline 9,98.52522332439679,96.25016355140188,83.8159659634318,71.84820581863201,77.92253205882355,86.62216570327554,62.2641244458518,56.067300032331076,70.42371825396826,82.86121400778211,97.91229289940829,103.47018679245284,109.20882059238365,113.12780880944783
Mainline 10,97.26418507462687,91.68170967741936,78.5213634686347,61.316417690417694,67.43366990942637,76.28115113350127,53.44462768580487,45.660195194085034,46.857642205184376,69.37651217861976,82.95987305122496,102.57462382824312,106.46080606617647,105.9306892578787
Mainline 11,100.54447758284601,97.90977300613497,92.56558425014477,62.287934210526316,71.00918727161998,81.70461923847697,51.236897600000006,40.520087264150945,44.083265625,44.18739016499514,88.61226413976902,107.64513911719938,108.68727075919337,107.65034199926768
Mainline 12,99.3078692158493,96.05238981723238,87.19993333333333,59.16251740812379,70.65956231276213,66.55500642398286,49.666730470071016,44.07548242467719,44.35404272266474,48.457261005199314,89.01874628639335,107.21440170940173,108.5549940369708,106.74970588235296
Mainline 13,100.59325832828588,89.7631507479862,77.8864045440202,55.642437222032164,57.51509562663185,55.54220629820052,45.76312911392405,41.988824514655505,34.68632247557004,42.543389118198874,92.95039311882766,110.32102948073704,110.15526992031873,110.36667423014586
Mainline 14,98.736125,85.0191799139168,75.76091883422126,54.223673,55.94477072843237,54.015499999999996,46.20991537324464,38.60353312788906,37.47036517533253,42.290727272727274,90.13457359444095,109.0038252991453,108.50972519083972,109.90135147118099
Mainline 15,94.49990180360722,82.3172457573853,69.74239849624061,59.0163654822335,58.808489195231004,60.35946385991059,41.89912531752752,38.80323611111112,38.398360364267134,40.09600574712643,61.991322425077506,93.16199221789886,101.75761430081016,108.95567780126851
Mainline 16,98.7112310261081,93.42788977955912,75.86017001594897,66.63365996228787,62.94793527918782,49.294404654654656,32.2290078157137,35.30527090694936,30.51476635514019,35.34842441209407,64.19723410665864,103.98068267419963,108.93041226912929,110.06248341063147
Mainline 17,100.29642647527912,99.03471428571429,91.81205487613673,88.51514484249537,106.08895266807356,91.77170091074682,88.93598937300744,89.84329300989468,86.695329218107,89.77584490171989,104.8499509085978,114.25199570077386,112.74136908035442,114.929947125621
Mainline 18,101.60385960591132,84.11836621621622,65.24299960063898,73.16768193384225,67.9642306049822,54.3061110670369,41.360366608544034,53.942423280423284,49.43346901990237,53.271612890775764,79.93290301350883,106.23306956172095,109.56711422845692,111.71378539626004
Mainline 19,100.10322999279019,73.41003294440632,48.437268586162446,65.44964264264266,51.86826978998385,37.474774354327145,32.862500683994526,41.187699473471035,36.933481622306715,41.63449511400652,63.649631460674165,93.75045382165605,106.61700559552358,108.72590708164186
Mainline 20,101.19165144230769,67.00585978745288,50.12031882305523,59.74521431114276,41.68363096623982,35.905153627888126,25.41203476581362,34.760549193548385,32.853213068181816,41.62685758394443,56.99472224299066,86.548282101936,109.88389595375725,111.35771882951656
Mainline 21,101.29875849973017,86.33939486103829,53.0600669525066,66.96537916152899,56.582202127659585,48.140122662440575,47.09395712924738,55.307084635800656,54.68322430184195,62.08014828897338,68.44197385620916,87.00597609561754,116.87505545617175,115.96960352286774
Mainline 22,104.12178319275228,99.94603435582822,87.15019947506562,87.34875981104652,75.88927145085805,76.99979865521107,74.07261637426902,78.02950512820514,78.52130058479533,78.22574807288018,80.2659180887372,86.63016337923334,108.41686352357321,109.20618512955313
Mainline 23,97.06653464447807,90.35460343769184,71.64192817059484,64.38087240773285,59.28004204625087,46.2686,48.867665321100915,57.532265248226956,49.78345292147376,66.41532763444204,75.46027495170638,88.94234637774903,106.62989788175783,109.1570591268477
Mainline 24,101.11074176437744,93.43467254685777,75.75965013140605,61.434042629840896,49.79895841330774,45.1884042484712,52.19080785058563,49.472473667711604,45.81269755600815,51.51807012286485,63.37343616718795,65.80564272890486,108.41135598705502,109.52014612903226
Mainline 25,101.9416385404789,87.55312264969628,82.04483586025052,62.68764409499359,54.91084881141046,50.22051183533448,58.60227753303964,54.28370967741936,54.94219582245431,60.08103603876439,64.9162171314741,65.96179583333334,101.98730376940132,110.29278426142048
Mainline 26,97.22629688454491,85.30596717249922,84.11055555555558,74.72479139072848,51.99568424543947,41.35908019357069,45.180889713322095,45.42612634671891,41.18549186440678,54.27466520787747,57.962034206471486,57.432055642879604,105.01211574382923,110.62877921120531
Mainline 27,96.04359574468086,78.22504171894606,80.65669931506851,71.62293800978792,47.75525164041995,39.847772696476966,44.776251662234046,43.34730580939947,40.7504976076555,47.175384809328705,51.7409774691358,51.06075662727564,105.0975931339225,112.1836277860327
Mainline 28,90.9735604208132,71.41221232674728,75.8977634880803,67.30899041916167,55.55772207084468,53.08322129886119,56.914480249480256,54.743999394122994,54.809099999999994,59.05919603267211,61.90283160621762,59.763605152786106,101.2031409062694,111.04719534555714
Mainline 29,88.76589353363816,79.62617940717628,89.27231263823066,84.09915907447578,81.65114231136582,73.77033584450807,82.27089885346315,81.73495622989793,74.23169672252706,78.84908750419885,76.96234460297767,77.09344502144954,97.17916379310346,100.57443490951547
Mainline 30,86.55243004338396,81.63900438596491,83.86460740913327,80.5250853583827,82.50081219698903,72.14599479043335,83.99873175641672,84.84251060820368,73.6781592920354,80.93218592015118,77.78735691554469,80.05098507462687,94.35158121330726,99.4150665648855
