,13:00-13:30,13:30-14:00,14:00-14:30,14:30-15:00,15:00-15:30,15:30-16:00,16:00-16:30,16:30-17:00,17:00-17:30,17:30-18:00,18:00-18:30,18:30-19:00,19:00-19:30,19:30-20:00
Offramp 1,330.0,352.0,304.0,406.0,416.0,316.0,428.0,394.0,552.0,506.0,440.0,352.0,388.0,286.0
Offramp 2,1024.0,988.0,896.0,912.0,1034.0,990.0,900.0,1086.0,1122.0,1264.0,1190.0,1180.0,1068.0,832.0
Offramp 3,688.0,858.0,744.0,918.0,754.0,806.0,840.0,1066.0,1112.0,1044.0,968.0,964.0,762.0,638.0
Offramp 4,426.0,432.0,530.0,540.0,520.0,570.0,594.0,738.0,690.0,706.0,602.0,706.0,700.0,396.0
Offramp 5,662.0,730.0,710.0,804.0,638.0,722.0,936.0,866.0,804.0,852.0,724.0,802.0,544.0,532.0
Offramp 6,252.0,280.0,268.0,354.0,358.0,386.0,418.0,422.0,348.0,338.0,382.0,306.0,228.0,262.0
Offramp 7,400.0,442.0,538.0,466.0,696.0,720.0,892.0,1056.0,1100.0,950.0,812.0,664.0,470.0,502.0
Offramp 8,710.0,596.0,652.0,630.0,732.0,706.0,932.0,1170.0,1482.0,1352.0,1024.0,928.0,776.0,650.0
Offramp 9,616.0,692.0,600.0,586.0,646.0,560.0,626.0,604.0,708.0,884.0,960.0,832.0,994.0,620.0
Offramp 10,408.0,398.0,354.0,292.0,312.0,404.0,298.0,362.0,448.0,540.0,452.0,536.0,486.0,374.0
Offramp 11,538.0,634.0,590.0,666.0,726.0,886.0,920.0,846.0,890.0,918.0,760.0,534.0,498.0,442.0
Offramp 12,95.86872586872587,98.81853281853282,70.79536679536679,93.65637065637065,77.43243243243244,78.16988416988417,74.48262548262548,58.996138996138995,63.42084942084942,82.5945945945946,97.34362934362935,70.05791505791505,111.35521235521236,73.00772200772201
Offramp 13,260.0,268.0,192.0,254.0,210.0,212.0,202.0,160.0,172.0,224.0,264.0,190.0,302.0,198.0
Offramp 14,1996.0,2152.0,2198.0,2238.0,1968.0,1790.0,1666.0,1698.0,1622.0,1790.0,2466.0,2316.0,2066.0,1366.0
Offramp 15,284.6629591687399,306.9111663983609,313.4715351968389,319.1762037172545,280.669691204449,255.28391628859944,237.59944387531098,242.1631786916435,231.3243085028538,255.28391628859944,351.6928142836236,330.30030733206496,294.6461290794673,194.81442997219378
Offramp 16,1060.0,1036.0,876.0,760.0,930.0,916.0,888.0,880.0,952.0,1114.0,980.0,872.0,838.0,676.0
Offramp 17,216.0,280.0,178.0,200.0,200.0,186.0,184.0,190.0,196.0,246.0,236.0,230.0,236.0,210.0
Offramp 18,510.0,454.0,342.0,476.0,460.0,404.0,478.0,448.0,476.0,538.0,652.0,542.0,582.0,560.0
Offramp 19,550.0,578.0,458.0,450.0,412.0,396.0,408.0,472.0,456.0,586.0,630.0,578.0,716.0,498.0
Offramp 20,388.0,398.0,378.0,350.0,274.0,328.0,266.0,408.0,304.0,458.0,398.0,406.0,488.0,346.0
