,13:00-13:15,13:15-13:30,13:30-13:45,13:45-14:00,14:00-14:15,14:15-14:30,14:30-14:45,14:45-15:00,15:00-15:15,15:15-15:30,15:30-15:45,15:45-16:00,16:00-16:15,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15,17:15-17:30,17:30-17:45,17:45-18:00,18:00-18:15,18:15-18:30,18:30-18:45,18:45-19:00,19:00-19:15,19:15-19:30,19:30-19:45,19:45-20:00
HOV 1,564.0,580.0,784.0,736.0,592.0,856.0,916.0,948.0,1072.0,1332.0,1420.0,1312.0,1372.0,1184.0,1392.0,1356.0,1052.0,1328.0,1136.0,1156.0,1064.0,1048.0,944.0,872.0,748.0,520.0,608.0,488.0
HOV 2,1820.0,1944.0,1792.0,1816.0,1808.0,1736.0,1804.0,1808.0,1776.0,1716.0,1960.0,1884.0,1796.0,1884.0,1916.0,2120.0,2032.0,1940.0,1960.0,2220.0,2056.0,2084.0,1856.0,1936.0,1888.0,1860.0,1468.0,1376.0
HOV 3,892.0,828.0,1164.0,1224.0,1220.0,1200.0,1404.0,1564.0,1424.0,1460.0,1604.0,1544.0,1532.0,1416.0,1548.0,1552.0,1368.0,1584.0,1420.0,1392.0,1464.0,1484.0,1388.0,1136.0,1176.0,932.0,840.0,736.0
HOV 4,1520.0,1668.0,1032.0,1164.0,1300.0,1152.0,1352.0,1492.0,1392.0,1496.0,1504.0,1520.0,1476.0,1400.0,1496.0,1544.0,1404.0,1548.0,1352.0,1288.0,1440.0,1336.0,1344.0,1256.0,1204.0,980.0,756.0,732.0
HOV 5,792.0,792.0,1088.0,1116.0,1200.0,1232.0,1572.0,1452.0,1456.0,1304.0,1440.0,1504.0,1380.0,1204.0,1356.0,1328.0,1280.0,1360.0,1208.0,1216.0,1260.0,1156.0,1300.0,1128.0,1080.0,1100.0,800.0,664.0
HOV 6,836.0,816.0,1080.0,1108.0,1192.0,1240.0,1572.0,1300.0,1564.0,1340.0,1468.0,1456.0,1472.0,1452.0,1424.0,1340.0,1248.0,1332.0,1240.0,1332.0,1288.0,1340.0,1348.0,1200.0,1160.0,976.0,948.0,796.0
HOV 7,760.0,832.0,1136.0,1160.0,1216.0,1248.0,1540.0,1392.0,1552.0,1336.0,1540.0,1496.0,1416.0,1428.0,1468.0,1284.0,1200.0,1436.0,1292.0,1276.0,1280.0,1312.0,1284.0,1340.0,1312.0,992.0,1076.0,836.0
HOV 8,760.0,816.0,1176.0,1176.0,1228.0,1264.0,1508.0,1372.0,1540.0,1356.0,1508.0,1516.0,1396.0,1448.0,1464.0,1300.0,1196.0,1408.0,1288.0,1244.0,1272.0,1384.0,1272.0,1296.0,1304.0,964.0,1064.0,848.0
HOV 9,768.0,824.0,1160.0,1200.0,1292.0,1276.0,1524.0,1460.0,1564.0,1404.0,1528.0,1548.0,1460.0,1380.0,1412.0,1224.0,1212.0,1416.0,1360.0,1208.0,1328.0,1416.0,1252.0,1320.0,1284.0,920.0,1032.0,892.0
HOV 10,868.0,1052.0,1312.0,1252.0,1312.0,1468.0,1420.0,1504.0,1648.0,1448.0,1532.0,1532.0,1468.0,1304.0,1328.0,1372.0,1336.0,1340.0,1472.0,1184.0,1396.0,1472.0,1272.0,1280.0,1236.0,844.0,968.0,852.0
HOV 11,908.0,1068.0,1180.0,1384.0,1428.0,1544.0,1452.0,1480.0,1520.0,1436.0,1464.0,1556.0,1300.0,1428.0,1052.0,1376.0,1136.0,1280.0,1400.0,1204.0,1388.0,1428.0,1220.0,1240.0,1156.0,884.0,880.0,660.0
HOV 12,888.0,1052.0,1208.0,1384.0,1480.0,1532.0,1468.0,1504.0,1552.0,1432.0,1484.0,1360.0,1264.0,1240.0,1096.0,1472.0,1156.0,1312.0,1256.0,1280.0,1424.0,1424.0,1216.0,1200.0,1116.0,904.0,860.0,636.0
HOV 13,864.0,992.0,1148.0,1356.0,1436.0,1436.0,1472.0,1556.0,1496.0,1364.0,1480.0,1392.0,1244.0,1280.0,1120.0,1368.0,1012.0,1236.0,1360.0,1300.0,1464.0,1416.0,1148.0,1072.0,1116.0,1060.0,888.0,668.0
HOV 14,896.0,928.0,1052.0,1384.0,1400.0,1440.0,1492.0,1520.0,1520.0,1408.0,1504.0,1436.0,1248.0,1296.0,1072.0,1296.0,1120.0,1288.0,1400.0,1248.0,1460.0,1284.0,1100.0,1148.0,1116.0,1096.0,860.0,632.0
