,13:00-13:15,13:15-13:30,13:30-13:45,13:45-14:00,14:00-14:15,14:15-14:30,14:30-14:45,14:45-15:00,15:00-15:15,15:15-15:30,15:30-15:45,15:45-16:00,16:00-16:15,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15,17:15-17:30,17:30-17:45,17:45-18:00,18:00-18:15,18:15-18:30,18:30-18:45,18:45-19:00,19:00-19:15,19:15-19:30,19:30-19:45,19:45-20:00
Onramp 1,872.0,856.0,840.0,848.0,852.0,860.0,732.0,792.0,728.0,748.0,756.0,748.0,740.0,676.0,856.0,748.0,844.0,892.0,924.0,888.0,1032.0,808.0,792.0,712.0,796.0,652.0,692.0,744.0
Onramp 2,820.0,1044.0,1060.0,1000.0,1032.0,940.0,1016.0,788.0,948.0,1068.0,1244.0,1032.0,1208.0,904.0,1056.0,932.0,1084.0,912.0,1136.0,1192.0,1200.0,912.0,976.0,984.0,1056.0,924.0,792.0,796.0
Onramp 3,440.0,516.0,532.0,560.0,644.0,384.0,440.0,460.0,484.0,556.0,500.0,520.0,520.0,452.0,464.0,416.0,692.0,600.0,604.0,424.0,612.0,504.0,504.0,496.0,404.0,412.0,400.0,332.0
Onramp 4,364.0,436.0,496.0,428.0,532.0,384.0,388.0,320.0,416.0,336.0,508.0,516.0,468.0,288.0,380.0,372.0,408.0,464.0,476.0,432.0,412.0,360.0,384.0,428.0,408.0,284.0,296.0,232.0
Onramp 5,552.0,444.0,496.0,488.0,468.0,488.0,356.0,340.0,508.0,440.0,552.0,500.0,456.0,376.0,376.0,312.0,416.0,360.0,456.0,416.0,528.0,412.0,484.0,396.0,420.0,472.0,380.0,296.0
Onramp 6,404.0,272.0,420.0,344.0,296.0,384.0,312.0,368.0,300.0,300.0,260.0,320.0,332.0,292.0,216.0,204.0,296.0,328.0,324.0,324.0,244.0,324.0,304.0,360.0,356.0,220.0,152.0,220.0
Onramp 7,228.0,236.0,272.0,208.0,200.0,228.0,156.0,140.0,212.0,196.0,164.0,188.0,100.0,108.0,132.0,116.0,140.0,152.0,148.0,160.0,128.0,208.0,212.0,184.0,220.0,208.0,200.0,204.0
Onramp 8,276.0,196.0,232.0,212.0,196.0,212.0,164.0,180.0,228.0,156.0,216.0,192.0,160.0,128.0,180.0,44.0,176.0,140.0,152.0,176.0,156.0,216.0,180.0,172.0,168.0,128.0,144.0,152.0
Onramp 9,556.0,488.0,440.0,480.0,472.0,440.0,480.0,400.0,460.0,396.0,452.0,356.0,412.0,256.0,248.0,328.0,308.0,244.0,284.0,252.0,324.0,308.0,320.0,336.0,448.0,440.0,392.0,320.0
Onramp 10,352.0,404.0,468.0,428.0,448.0,552.0,476.0,440.0,440.0,348.0,416.0,324.0,368.0,368.0,400.0,324.0,436.0,388.0,292.0,324.0,388.0,260.0,292.0,240.0,332.0,272.0,388.0,288.0
