,13:00-13:30,13:30-14:00,14:00-14:30,14:30-15:00,15:00-15:30,15:30-16:00,16:00-16:30,16:30-17:00,17:00-17:30,17:30-18:00,18:00-18:30,18:30-19:00,19:00-19:30,19:30-20:00
Onramp 1,864.0,844.0,856.0,762.0,738.0,752.0,708.0,802.0,868.0,906.0,920.0,752.0,724.0,718.0
Onramp 2,932.0,1030.0,986.0,902.0,1008.0,1138.0,1056.0,994.0,998.0,1164.0,1056.0,980.0,990.0,794.0
Onramp 3,478.0,546.0,514.0,450.0,520.0,510.0,486.0,440.0,646.0,514.0,558.0,500.0,408.0,366.0
Onramp 4,400.0,462.0,458.0,354.0,376.0,512.0,378.0,376.0,436.0,454.0,386.0,406.0,346.0,264.0
Onramp 5,498.0,492.0,478.0,348.0,474.0,526.0,416.0,344.0,388.0,436.0,470.0,440.0,446.0,338.0
Onramp 6,338.0,382.0,340.0,340.0,300.0,290.0,312.0,210.0,312.0,324.0,284.0,332.0,288.0,186.0
Onramp 7,232.0,240.0,214.0,148.0,204.0,176.0,104.0,124.0,146.0,154.0,168.0,198.0,214.0,202.0
Onramp 8,236.0,222.0,204.0,172.0,192.0,204.0,144.0,112.0,158.0,164.0,186.0,176.0,148.0,148.0
Onramp 9,522.0,460.0,456.0,440.0,428.0,404.0,334.0,288.0,276.0,268.0,316.0,328.0,444.0,356.0
Onramp 10,378.0,448.0,500.0,458.0,394.0,370.0,368.0,362.0,412.0,308.0,324.0,266.0,302.0,338.0
Onramp 11,116.0,92.0,106.0,54.0,44.0,62.0,40.0,68.0,46.0,36.0,68.0,72.0,100.0,76.0
Onramp 12,400.0,578.0,532.0,498.0,570.0,536.0,488.0,494.0,682.0,572.0,522.0,422.0,420.0,406.0
Onramp 13,516.0,558.0,574.0,608.0,540.0,536.0,558.0,568.0,598.0,546.0,506.0,588.0,430.0,452.0
Onramp 14,666.0,712.0,702.0,958.0,844.0,852.0,1028.0,1182.0,1146.0,1008.0,884.0,596.0,596.0,444.0
Onramp 15,364.12738853503186,389.2773282836977,383.809950077466,523.7748321569977,461.4467206059563,465.82062317094164,562.0464796006197,646.244103976588,626.5615424341539,551.1117231881564,483.31623343088313,325.85574109140987,325.85574109140987,242.7515923566879
Onramp 16,102.0,116.0,130.0,206.0,182.0,176.0,266.0,296.0,268.0,240.0,168.0,102.0,136.0,148.0
Onramp 17,2506.0,2388.0,1592.0,1602.0,1578.0,1656.0,1694.0,1708.0,1746.0,1754.0,1820.0,2092.0,2068.0,2312.0
Onramp 18,424.0,472.0,584.0,808.0,764.0,776.0,776.0,726.0,766.0,632.0,650.0,470.0,352.0,236.0
Onramp 19,288.0,320.0,296.0,406.0,422.0,518.0,456.0,484.0,508.0,416.0,370.0,288.0,260.0,176.0
Onramp 20,296.0,304.0,226.0,300.0,282.0,256.0,312.0,262.0,320.0,296.0,190.0,196.0,204.0,190.0
Onramp 21,284.0,318.0,302.0,284.0,336.0,320.0,446.0,368.0,330.0,284.0,232.0,204.0,172.0,144.0
Onramp 22,306.0,394.0,300.0,390.0,330.0,298.0,344.0,378.0,430.0,372.0,408.0,318.0,256.0,262.0
Onramp 23,154.0,164.0,240.0,240.0,240.0,198.0,246.0,190.0,244.0,194.0,186.0,178.0,152.0,112.0
Onramp 24,748.0,746.0,896.0,1022.0,1020.0,754.0,746.0,782.0,990.0,832.0,868.0,734.0,572.0,564.0
