,13:00-13:15,13:15-13:30,13:30-13:45,13:45-14:00,14:00-14:15,14:15-14:30,14:30-14:45,14:45-15:00,15:00-15:15,15:15-15:30,15:30-15:45,15:45-16:00,16:00-16:15,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15,17:15-17:30,17:30-17:45,17:45-18:00,18:00-18:15,18:15-18:30,18:30-18:45,18:45-19:00,19:00-19:15,19:15-19:30,19:30-19:45,19:45-20:00
Mainline 1,8176.0,8696.0,8724.0,9136.0,8576.0,9364.0,9324.0,9676.0,8304.0,8264.0,8468.0,8612.0,8780.0,8608.0,9192.0,9136.0,9096.0,9148.0,9560.0,9040.0,9424.0,9472.0,9044.0,9376.0,8980.0,7776.0,7976.0,7556.0
Mainline 2,11552.0,11656.0,11732.0,12408.0,12272.0,12864.0,12976.0,12672.0,10616.0,10260.0,12280.0,10240.0,11076.0,12120.0,11700.0,11804.0,11708.0,11480.0,12048.0,12572.0,12496.0,12872.0,12396.0,12472.0,11908.0,10516.0,11236.0,10108.0
Mainline 3,7424.0,8224.0,8224.0,8404.0,8112.0,8324.0,8812.0,7512.0,7072.0,7412.0,8208.0,7864.0,8104.0,8096.0,8288.0,8416.0,8216.0,8364.0,8300.0,8572.0,8652.0,8380.0,8352.0,8272.0,8392.0,7512.0,6672.0,6680.0
Mainline 4,7144.0,7728.0,8672.0,8896.0,8756.0,8708.0,8924.0,8072.0,7560.0,7860.0,8460.0,8420.0,8484.0,8348.0,8628.0,8720.0,8980.0,9096.0,9108.0,9196.0,9020.0,8968.0,8852.0,8960.0,8856.0,8256.0,6764.0,6908.0
Mainline 5,7328.0,7848.0,8460.0,8068.0,8144.0,8048.0,8104.0,7444.0,7840.0,7604.0,8600.0,8012.0,8028.0,7916.0,8084.0,7932.0,8196.0,8348.0,8352.0,8488.0,8260.0,8104.0,8044.0,8124.0,7864.0,7748.0,6276.0,6156.0
Mainline 6,7084.0,7276.0,7908.0,7572.0,7916.0,6236.0,7156.0,5484.0,7328.0,6916.0,7752.0,7552.0,7144.0,6848.0,7240.0,7196.0,7148.0,7284.0,7604.0,7272.0,7464.0,7516.0,7428.0,7148.0,7364.0,6892.0,6212.0,6000.0
Mainline 7,6384.0,6516.0,6744.0,6372.0,6840.0,5812.0,6024.0,5748.0,6384.0,5804.0,6564.0,6580.0,5996.0,5924.0,5960.0,5836.0,6432.0,6440.0,6436.0,6580.0,6692.0,6876.0,6672.0,6728.0,6832.0,5868.0,5660.0,5288.0
Mainline 8,6916.0,7520.0,7616.0,7100.0,7444.0,6332.0,6240.0,5932.0,6944.0,6128.0,7032.0,6988.0,6120.0,6328.0,6172.0,6080.0,6888.0,6784.0,6860.0,6940.0,7024.0,7384.0,7176.0,7180.0,7496.0,6332.0,6164.0,5972.0
Mainline 9,7232.0,7688.0,7964.0,7444.0,7644.0,6576.0,6612.0,6312.0,7160.0,6440.0,7328.0,7204.0,6408.0,6224.0,6456.0,5916.0,7152.0,6960.0,7156.0,7236.0,7268.0,7604.0,7348.0,7492.0,7560.0,6620.0,6444.0,6088.0
Mainline 10,6268.0,7132.0,7260.0,6876.0,6780.0,6228.0,5324.0,6072.0,6628.0,5296.0,6584.0,6120.0,6048.0,5308.0,5504.0,5316.0,5736.0,5220.0,5900.0,5924.0,5932.0,6640.0,6600.0,6628.0,6936.0,6120.0,6140.0,5664.0
Mainline 11,6832.0,7532.0,7372.0,7624.0,7096.0,6720.0,5916.0,7156.0,6340.0,6796.0,7220.0,6752.0,6004.0,6496.0,5596.0,6276.0,6000.0,5776.0,6920.0,5444.0,6744.0,6764.0,6644.0,6496.0,6748.0,6740.0,5544.0,5380.0
