,13:00-13:15,13:15-13:30,13:30-13:45,13:45-14:00,14:00-14:15,14:15-14:30,14:30-14:45,14:45-15:00,15:00-15:15,15:15-15:30,15:30-15:45,15:45-16:00,16:00-16:15,16:15-16:30,16:30-16:45,16:45-17:00,17:00-17:15,17:15-17:30,17:30-17:45,17:45-18:00,18:00-18:15,18:15-18:30,18:30-18:45,18:45-19:00,19:00-19:15,19:15-19:30,19:30-19:45,19:45-20:00
Offramp 1,292.0,368.0,348.0,356.0,288.0,320.0,340.0,472.0,448.0,384.0,336.0,296.0,392.0,464.0,348.0,440.0,460.0,644.0,556.0,456.0,496.0,384.0,344.0,360.0,404.0,372.0,280.0,292.0
Offramp 2,1032.0,1016.0,932.0,1044.0,836.0,956.0,860.0,964.0,1028.0,1040.0,1100.0,880.0,848.0,952.0,1012.0,1160.0,1064.0,1180.0,1180.0,1348.0,1152.0,1228.0,1088.0,1272.0,968.0,1168.0,772.0,892.0
Offramp 3,672.0,704.0,784.0,932.0,736.0,752.0,916.0,920.0,740.0,768.0,856.0,756.0,740.0,940.0,904.0,1228.0,1168.0,1056.0,1112.0,976.0,1052.0,884.0,884.0,1044.0,888.0,636.0,596.0,680.0
Offramp 4,424.0,428.0,456.0,408.0,416.0,644.0,452.0,628.0,652.0,388.0,632.0,508.0,600.0,588.0,696.0,780.0,788.0,592.0,640.0,772.0,576.0,628.0,784.0,628.0,720.0,680.0,360.0,432.0
Offramp 5,620.0,704.0,740.0,720.0,560.0,860.0,684.0,924.0,652.0,624.0,788.0,656.0,892.0,980.0,996.0,736.0,764.0,844.0,804.0,900.0,672.0,776.0,736.0,868.0,652.0,436.0,492.0,572.0
Offramp 6,224.0,280.0,308.0,252.0,232.0,304.0,356.0,352.0,372.0,344.0,388.0,384.0,348.0,488.0,448.0,396.0,356.0,340.0,372.0,304.0,400.0,364.0,224.0,388.0,292.0,164.0,244.0,280.0
Offramp 7,416.0,384.0,424.0,460.0,468.0,608.0,416.0,516.0,552.0,840.0,696.0,744.0,828.0,956.0,1016.0,1096.0,1252.0,948.0,1024.0,876.0,840.0,784.0,728.0,600.0,472.0,468.0,464.0,540.0
Offramp 8,712.0,708.0,556.0,636.0,704.0,600.0,604.0,656.0,580.0,884.0,732.0,680.0,872.0,992.0,1016.0,1324.0,1272.0,1692.0,1556.0,1148.0,1208.0,840.0,1000.0,856.0,696.0,856.0,740.0,560.0
Offramp 9,520.0,712.0,608.0,776.0,704.0,496.0,628.0,544.0,668.0,624.0,600.0,520.0,684.0,568.0,680.0,528.0,656.0,760.0,812.0,956.0,1008.0,912.0,832.0,832.0,984.0,1004.0,708.0,532.0
Offramp 10,400.0,416.0,384.0,412.0,392.0,316.0,316.0,268.0,304.0,320.0,436.0,372.0,176.0,420.0,372.0,352.0,408.0,488.0,532.0,548.0,456.0,448.0,512.0,560.0,408.0,564.0,360.0,388.0
Offramp 11,504.0,572.0,592.0,676.0,592.0,588.0,684.0,648.0,732.0,720.0,840.0,932.0,896.0,944.0,888.0,804.0,892.0,888.0,848.0,988.0,808.0,712.0,540.0,528.0,520.0,476.0,432.0,452.0
Offramp 12,91.44401544401545,100.29343629343629,85.54440154440154,112.0926640926641,70.79536679536679,70.79536679536679,95.86872586872587,91.44401544401545,84.06949806949807,70.79536679536679,76.6949806949807,79.64478764478764,78.16988416988417,70.79536679536679,53.0965250965251,64.89575289575289,60.47104247104247,66.37065637065638,72.27027027027027,92.91891891891892,100.29343629343629,94.39382239382239,97.34362934362935,42.77220077220077,129.79150579150578,92.91891891891892,64.89575289575289,81.11969111969113
Offramp 13,248.0,272.0,232.0,304.0,192.0,192.0,260.0,248.0,228.0,192.0,208.0,216.0,212.0,192.0,144.0,176.0,164.0,180.0,196.0,252.0,272.0,256.0,264.0,116.0,352.0,252.0,176.0,220.0
